,tau
2343,19
2344,15
2345,10
2346,16
2347,23
2348,15
2349,5
2350,11
2351,5
2352,1
2353,1
2354,3
2355,13
2356,1
2357,19
2358,16
2359,6
2360,13
2361,2
2362,16
2363,17
2364,2
2365,1
2366,4
2367,10
2368,0
2369,8
2370,0
2371,3
2372,12
2373,0
2374,4
2375,7
2376,4
2377,19
2378,12
2379,9
2380,15
2381,10
2382,7
2383,12
2384,0
2385,15
2386,5
2387,3
2388,18
2389,1
2390,17
2391,20
2392,20
2393,10
2394,16
2395,6
2396,8
2397,3
2398,3
2399,14
2400,8
2401,11
2402,15
2403,8
2404,19
2405,7
2406,2
2407,2
2408,17
2409,8
2410,19
2411,7
2412,21
2413,20
2414,21
2415,24
2416,11
2417,24
2418,8
2419,6
2420,23
2421,0
2422,17
2423,10
2424,16
2425,9
2426,7
2427,18
2428,7
2429,16
2430,24
2431,24
2432,16
2433,8
2434,10
2435,11
2436,18
2437,17
2438,24
2439,4
2440,3
2441,24
2442,20
2443,17
2444,14
2445,17
2446,23
2447,0
2448,24
2449,13
2450,18
2451,9
2452,3
2453,6
2454,4
2455,4
2456,14
2457,20
2458,0
2459,7
2460,1
2461,3
2462,2
2463,5
2464,0
2465,14
2466,18
2467,17
2468,17
2469,8
2470,11
2471,0
2472,4
2473,1
2474,2
2475,2
2476,21
2477,17
2478,11
2479,19
2480,10
2481,12
2482,16
2483,6
2484,4
2485,19
2486,1
2487,5
2488,13
2489,6
2490,5
2491,11
2492,8
2493,15
2494,4
2495,21
2496,0
2497,7
2498,16
2499,16
2500,20
2501,19
2502,24
2503,1
2504,8
2505,18
2506,9
2507,18
2508,9
2509,9
2510,21
2511,12
2512,25
2513,7
2514,20
2515,22
2516,14
2517,22
2518,7
2519,12
2520,15
2521,16
2522,8
2523,18
2524,18
2525,5
2526,8
2527,8
2528,19
2529,25
2530,17
2531,25
2532,17
2533,9
2534,11
2535,3
2536,19
2537,11
2538,12
2539,5
2540,18
2541,25
2542,24
2543,25
2544,9
2545,17
2546,21
2547,4
2548,25
2549,11
2550,6
2551,0
2552,1
2553,15
2554,10
2555,5
2556,21
2557,16
2558,6
2559,8
2560,2
2561,2
2562,0
2563,0
2564,0
2565,0
2566,19
2567,3
2568,1
2569,0
2570,0
2571,9
2572,3
2573,0
2574,18
2575,3
2576,0
2577,9
2578,14
2579,13
2580,12
2581,3
2582,6
2583,10
2584,5
2585,17
2586,12
2587,2
2588,3
2589,8
2590,22
2591,0
2592,4
2593,22
2594,4
2595,7
2596,7
2597,5
2598,17
2599,17
2600,16
2601,10
2602,0
2603,19
2604,10
2605,10
2606,20
2607,19
2608,21
2609,15
2610,13
2611,8
2612,21
2613,13
2614,25
2615,23
2616,7
2617,6
2618,19
2619,26
2620,22
2621,8
2622,9
2623,19
2624,18
2625,23
2626,9
2627,9
2628,26
2629,26
2630,2
2631,20
2632,18
2633,5
2634,10
2635,9
2636,18
2637,20
2638,13
2639,12
2640,6
2641,25
2642,19
2643,10
2644,26
2645,26
2646,4
2647,12
2648,26
2649,8
2650,17
2651,1
2652,10
2653,19
2654,16
2655,18
2656,7
2657,11
2658,0
2659,8
2660,9
2661,0
2662,1
2663,0
2664,0
2665,0
2666,6
2667,1
2668,1
2669,22
2670,0
2671,0
2672,0
2673,3
2674,1
2675,15
2676,0
2677,0
2678,7
2679,12
2680,4
2681,14
2682,0
2683,6
2684,3
2685,13
2686,13
2687,11
2688,9
2689,18
2690,8
2691,6
2692,5
2693,23
2694,5
2695,0
2696,23
2697,4
2698,18
2699,3
